over,win_probability,over_info,forecast
1.0,KKR 55.75%,RCB 7/0,Live Forecast: RCB 169
2.0,KKR 55.75%,RCB 17/1,Live Forecast: RCB 169
3.0,RCB 58.7%,RCB 34/1,Live Forecast: RCB 182
4.0,RCB 65.06%,RCB 43/1,Live Forecast: RCB 188
5.0,RCB 62.99%,RCB 46/1,Live Forecast: RCB 186
6.0,RCB 62.99%,RCB 61/1,Live Forecast: RCB 186
7.0,RCB 56.51%,RCB 64/1,Live Forecast: RCB 180
8.0,RCB 66.08%,RCB 74/1,Live Forecast: RCB 189
9.0,RCB 67.08%,RCB 82/2,Live Forecast: RCB 190
10.0,RCB 55.4%,RCB 85/2,Live Forecast: RCB 179
11.0,KKR 55.75%,RCB 87/2,Live Forecast: RCB 169
12.0,RCB 64.03%,RCB 104/2,Live Forecast: RCB 187
13.0,RCB 60.86%,RCB 109/2,Live Forecast: RCB 184
14.0,RCB 72.76%,RCB 124/2,Live Forecast: RCB 196
15.0,RCB 70%,RCB 134/3,Live Forecast: RCB 193
16.0,RCB 65.06%,RCB 141/3,Live Forecast: RCB 188
17.0,RCB 60.86%,RCB 148/4,Live Forecast: RCB 184
18.0,RCB 54.29%,RCB 153/5,Live Forecast: RCB 178
19.0,RCB 54.29%,RCB 166/5,Live Forecast: RCB 178
20.0,RCB 58.7%,RCB 182/6,Live Forecast: RCB 182
1.0,KKR 55.46%,KKR 18/0,KKR needed 165 runs from 114 balls
2.0,KKR 64.88%,KKR 32/0,KKR needed 151 runs from 108 balls
3.0,KKR 73.83%,KKR 46/0,KKR needed 137 runs from 102 balls
4.0,KKR 73.75%,KKR 53/0,KKR needed 130 runs from 96 balls
5.0,KKR 80.58%,KKR 64/0,KKR needed 119 runs from 90 balls
6.0,KKR 92.87%,KKR 85/0,KKR needed 98 runs from 84 balls
7.0,KKR 88.68%,KKR 89/1,KKR needed 94 runs from 78 balls
8.0,KKR 82.86%,KKR 93/2,KKR needed 90 runs from 72 balls
9.0,KKR 87.94%,KKR 104/2,KKR needed 79 runs from 66 balls
10.0,KKR 89.9%,KKR 112/2,KKR needed 71 runs from 60 balls
11.0,KKR 97.9%,KKR 132/2,KKR needed 51 runs from 54 balls
12.0,KKR 98.27%,KKR 137/2,KKR needed 46 runs from 48 balls
13.0,KKR 98.81%,KKR 144/2,KKR needed 39 runs from 42 balls
14.0,KKR 98.69%,KKR 150/2,KKR needed 33 runs from 36 balls
15.0,KKR 99.75%,KKR 167/2,KKR needed 16 runs from 30 balls
16.0,KKR 99.88%,KKR 176/3,KKR needed 7 runs from 24 balls
17.0,KKR 100%,KKR 186/3,KKR won by 7 wickets (with 19 balls remaining)
