over,win_probability,over_info,forecast
1.0,DC 66.1%,DC 15/0,Live Forecast: DC 193
2.0,DC 56.69%,DC 18/1,Live Forecast: DC 184
3.0,DC 54.52%,DC 30/2,Live Forecast: DC 182
4.0,DC 54.52%,DC 42/3,Live Forecast: DC 182
5.0,DC 74.43%,DC 58/3,Live Forecast: DC 202
6.0,DC 77.68%,DC 67/3,Live Forecast: DC 206
7.0,DC 60.97%,DC 68/4,Live Forecast: DC 188
8.0,DC 54.52%,DC 73/4,Live Forecast: DC 182
9.0,DC 54.52%,DC 80/4,Live Forecast: DC 182
10.0,DC 63.05%,DC 93/4,Live Forecast: DC 190
11.0,DC 50.15%,DC 94/5,Live Forecast: DC 178
12.0,KKR 54.2%,DC 99/5,Live Forecast: DC 174
13.0,KKR 74.39%,DC 101/6,Live Forecast: DC 153
14.0,KKR 80.24%,DC 106/7,Live Forecast: DC 145
15.0,KKR 83.9%,DC 112/8,Live Forecast: DC 139
16.0,KKR 72.75%,DC 128/8,Live Forecast: DC 155
17.0,KKR 64.55%,DC 136/8,Live Forecast: DC 164
18.0,KKR 69.27%,DC 139/8,Live Forecast: DC 159
19.0,KKR 74.39%,DC 143/9,Live Forecast: DC 153
20.0,KKR 74.39%,DC 153/9,Live Forecast: DC 153
1.0,KKR 86.56%,KKR 23/0,KKR needed 131 runs from 114 balls
2.0,KKR 86.62%,KKR 27/0,KKR needed 127 runs from 108 balls
3.0,KKR 90.8%,KKR 40/0,KKR needed 114 runs from 102 balls
4.0,KKR 90.64%,KKR 46/0,KKR needed 108 runs from 96 balls
5.0,KKR 95.07%,KKR 61/0,KKR needed 93 runs from 90 balls
6.0,KKR 98.14%,KKR 79/0,KKR needed 75 runs from 84 balls
7.0,KKR 97.86%,KKR 84/1,KKR needed 70 runs from 78 balls
8.0,KKR 98.71%,KKR 96/1,KKR needed 58 runs from 72 balls
9.0,KKR 97.92%,KKR 100/2,KKR needed 54 runs from 66 balls
10.0,KKR 96.58%,KKR 104/3,KKR needed 50 runs from 60 balls
11.0,KKR 98.04%,KKR 113/3,KKR needed 41 runs from 54 balls
12.0,KKR 98.85%,KKR 121/3,KKR needed 33 runs from 48 balls
13.0,KKR 99.48%,KKR 130/3,KKR needed 24 runs from 42 balls
14.0,KKR 99.49%,KKR 134/3,KKR needed 20 runs from 36 balls
15.0,KKR 99.67%,KKR 141/3,KKR needed 13 runs from 30 balls
16.0,KKR 99.92%,KKR 151/3,KKR needed 3 runs from 24 balls
17.0,KKR 100%,KKR 157/3,KKR won by 7 wickets (with 21 balls remaining)
