Player,Team,TI,B. Impact,Bo. Impact
Tushar Deshpande,CSK,86.71,-,86.71
Ravindra Jadeja,CSK,83.61,-,83.61
Ruturaj Gaikwad,CSK,56.59,56.59,-
Sunil Narine,KKR,41.81,33.77,8.05
Vaibhav Arora,KKR,38.96,0.56,38.41
Mustafizur Rahman,CSK,37.71,-,37.71
Angkrish Raghuvanshi,KKR,28,28,-
Shivam Dube,CSK,27.25,27.25,-
Shreyas Iyer,KKR,26.56,26.56,-
Rachin Ravindra,CSK,23.88,19.41,4.48
Daryl Mitchell,CSK,22.98,22.98,-
Maheesh Theekshana,CSK,19.63,-,19.63
Ramandeep Singh,KKR,14.42,14.42,-
Andre Russell,KKR,5.46,5.99,- 0.53
Varun Chakravarthy,KKR,2.99,-,2.99
Sameer Rizvi,CSK,-,-,-
Ajinkya Rahane,CSK,-,-,-
MS Dhoni,CSK,- 0.95,- 0.95,-
Phil Salt,KKR,- 1.51,- 1.51,-
Anukul Roy,KKR,- 4.74,1.45,- 6.2
Venkatesh Iyer,KKR,- 5.32,- 5.32,-
Shardul Thakur,CSK,- 5.93,-,- 5.93
Rinku Singh,KKR,- 6.8,- 6.8,-
Mitchell Starc,KKR,- 8.74,- 3.8,- 4.94
